"IDRECUPERACION","RECUPERACION"
"DONA","El material fue donado y las tcnicas de excavacin se desconocen."
"FLOT","El material excavado fue recuperado de muestras de flotacin."
"GRFI","Todo el material excavado fue tamizado en grueso y slo una muestra representativa fue tamizada en fino."
"MENT","El material excavado no fue tamizado."
"MUTA","Una muestra del material fue tamizada y se desconoce el tamao de luz de malla."
"ND","No disponible"
"PAFI","Slo parte del material excavado fue tamizado en fino."
"TAFI","Todo el material excavado fue tamizado en fino (luz de malla < 1.6 mm)."
"TAGR","Todo el material excavado fue tamizado en grueso (luz de malla > 1.6 mm)."
"TAME","Todo el material excavado fue tamizado en mediano (luz de malla = 12.5mm)."
"TOTL","Tcnicas de recolecta completa se utilizaron."
